数据日期	省	市	确诊
20191230	湖北	武汉	
20200102	湖北	武汉	
20200104	湖北	武汉	
20200110	湖北	武汉	41
20200111	湖北	武汉	41
20200112	湖北	武汉	41
20200113	湖北	武汉	41
20200114	湖北	武汉	41
20200115	湖北	武汉	41
20200116	湖北	武汉	45
20200117	湖北	武汉	62
20200118	湖北	武汉	121
20200119	湖北	武汉	198
20200120	湖北	武汉	258
20200121	湖北	武汉	375
20200122	湖北	武汉	437
20200123	湖北	武汉	495
20200124	湖北	武汉	572
20200125	湖北	武汉	618
20200126	湖北	武汉	698
20200127	湖北	武汉	1590
20200128	湖北	武汉	1905
20200129	湖北	武汉	2261
20200130	湖北	武汉	2639
20200131	湖北	武汉	3215
20200201	湖北	武汉	4109
20200202	湖北	武汉	5142
20200203	湖北	武汉	6384
